candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary
CAND_0016924,,Marketing Manager,3.3,Reinforcement Learning,Marketing Manager @ Pied Piper (20m) | Operations Manager @ Acme Corp (19m),"Professional with 3.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0007353,,Frontend Engineer,9.9,RAG,Frontend Engineer @ Wayne Enterprises (166m) | Full Stack Developer @ Globex Inc (25m) | DevOps Engineer @ Hooli (48m),"Software engineer with 9.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0080120,,Mechanical Engineer,12.6,,Mechanical Engineer @ Stark Industries (13m) | Content Writer @ Wipro (14m) | Graphic Designer @ Wayne Enterprises (20m),"Professional with 12.6+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0061728,,HR Manager,10.5,Object Detection,HR Manager @ Infosys (12m) | Project Manager @ Infosys (42m) | Sales Executive @ Infosys (42m),"Professional with 10.5+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0041675,,Graphic Designer,13.3,,Graphic Designer @ Wayne Enterprises (46m) | Graphic Designer @ Wipro (15m) | Customer Support @ Stark Industries (31m),"Professional with 13.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0019688,,Mechanical Engineer,5.0,,Mechanical Engineer @ Infosys (51m) | HR Manager @ Hooli (8m),"Professional with 5.0+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0089965,,Frontend Engineer,2.9,"OpenCV, Data Science, PyTorch, Speech Recognition",Frontend Engineer @ Initech (34m),"Software engineer with 2.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0021940,,Full Stack Developer,7.2,"MLOps, OpenCV",Full Stack Developer @ Capgemini (18m) | .NET Developer @ Stark Industries (51m) | Mobile Developer @ Wipro (16m),"Software engineer with 7.2 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0039872,,Content Writer,10.6,,Content Writer @ TCS (21m) | HR Manager @ Wayne Enterprises (34m) | Graphic Designer @ Pied Piper (18m),"Professional with 10.6+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0036955,,Accountant,6.4,,Accountant @ Acme Corp (54m) | Marketing Manager @ Pied Piper (13m) | Project Manager @ TCS (9m),"Professional with 6.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
