candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary
CAND_0000002,2.664,Operations Manager,12.5,,Operations Manager @ Wipro (43m) | Operations Manager @ Wipro (14m) | Marketing Manager @ Acme Corp (54m),"Professional with 12.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000007,2.256,Civil Engineer,5.5,,Civil Engineer @ Wipro (38m) | Mechanical Engineer @ Initech (27m),"Professional with 5.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000084,0.936,Marketing Manager,10.6,,Marketing Manager @ Infosys (16m) | Operations Manager @ TCS (31m) | Project Manager @ Hooli (12m),"Professional with 10.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000164,2.016,Content Writer,3.7,Forecasting,Content Writer @ Wipro (44m),"Professional with 3.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000168,1.920,Sales Executive,10.7,Image Classification,Sales Executive @ Wayne Enterprises (34m) | HR Manager @ TCS (43m) | Graphic Designer @ TCS (20m),"Professional with 10.7+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000217,1.560,Mechanical Engineer,4.5,Speech Recognition,Mechanical Engineer @ Globex Inc (24m) | Mechanical Engineer @ Stark Industries (16m) | HR Manager @ Acme Corp (13m),"Professional with 4.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000239,2.592,Project Manager,4.4,,Project Manager @ Pied Piper (52m),"Professional with 4.4+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000251,1.056,Customer Support,11.4,,Customer Support @ Wayne Enterprises (28m) | Accountant @ TCS (32m) | Project Manager @ Pied Piper (24m),"Professional with 11.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000268,1.896,Graphic Designer,11.3,Computer Vision,Graphic Designer @ TCS (40m) | Mechanical Engineer @ Pied Piper (24m) | Graphic Designer @ Dunder Mifflin (16m),"Professional with 11.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0000339,2.904,HR Manager,1.6,,HR Manager @ Dunder Mifflin (19m),"Professional with 1.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
