candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary,category
CAND_0049538,3.0,Applied ML Engineer,5.8,"LlamaIndex, Feature Engineering, MLflow, TTS, Learning to Rank, OpenSearch, Vector Search, Milvus, QLoRA, Embeddings",Applied ML Engineer @ Saarthi.ai (40m) | Recommendation Systems Engineer @ PolicyBazaar (19m) | AI Engineer @ Zoho (9m),"Machine learning engineer with 5.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",normal
CAND_0087951,0.15,HR Manager,8.6,,HR Manager @ Globex Inc (22m) | HR Manager @ Acme Corp (52m) | Customer Support @ Dunder Mifflin (27m),"Professional with 8.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0090716,0.726,HR Manager,6.6,"Information Retrieval, Hugging Face Transformers, Embeddings, Sentence Transformers, LangChain, Fine-tuning LLMs, Pinecone, RAG",HR Manager @ Globex Inc (34m) | Content Writer @ Acme Corp (26m) | HR Manager @ TCS (17m),"HR Manager with 6.6+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0085759,0.28,Mechanical Engineer,9.5,,Mechanical Engineer @ Wipro (43m) | Project Manager @ Dunder Mifflin (38m) | Operations Manager @ Hooli (25m),"Professional with 9.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0016000,0.0,Full Stack Developer,2.0,"TypeScript, Go, Docker, Hadoop, Photoshop",Full Stack Developer @ Initech (24m),"Software engineer with 2.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",honeypot: expert_zero_months(5 skills)
CAND_0076319,0.686,Customer Support,8.5,"Fine-tuning LLMs, Recommendation Systems, Prompt Engineering, LangChain, Vector Search, Semantic Search, Pinecone",Customer Support @ Infosys (14m) | Marketing Manager @ Infosys (33m) | Mechanical Engineer @ Stark Industries (16m),"Customer Support with 8.5+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0049741,1.265,Software Engineer,6.9,"Weights & Biases, Object Detection",Software Engineer @ Flipkart (45m) | Frontend Engineer @ Zomato (26m) | Software Engineer @ Acme Corp (10m),"Software engineer with 6.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",normal
CAND_0053564,0.276,Marketing Manager,9.2,,Marketing Manager @ Wayne Enterprises (33m) | Civil Engineer @ Pied Piper (31m) | Content Writer @ Infosys (45m),"Professional with 9.2+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0029178,2.16,Data Engineer,6.0,"TTS, BentoML, FAISS, GANs",Data Engineer @ PhonePe (52m) | Senior Data Engineer @ Stark Industries (12m) | Analytics Engineer @ Globex Inc (7m),"Software / data professional with 6.0 years of experience building data pipelines, backend systems, and analytics infrastructure. Most of my work has been data pipelines and analytics infrastructure; I've shipped a couple of small ML features but it's not the core of my day. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",normal
CAND_0033131,0.0,Operations Manager,12.7,,Operations Manager @ Pied Piper (16m),"Professional with 8.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",honeypot: career_yoe_mismatch(ratio=0.10)
